ID,Pillar,Question,Selected,Selected Text,Raw Score,Max Score,Status,Confidence,Multiplier,Final Score,Evidence Quote,Evidence Page,Reasoning,Suggested Answer
E01,Environmental,Does the company track and report its greenhouse gas (GHG) emissions?,A,"Yes, Scope 1 and 2",3,3,SUPPORTED,95,1.0,3.0,"In 2024, Interbank increased its renewable energy consumption through the installation of solar panels at its headquarters and by entering into free-market customer contracts that guarantee the supply of clean energy. As a result, Interbank achieved 60% of its energy consumption from renewable sources and recorded a 23% reduction in Scope 2 emissions compared to the previous year.",page_0005,The document explicitly mentions tracking and reporting of Scope 1 and Scope 2 emissions with specific data tables and reduction targets.,A
E02,Environmental,Has the company set carbon-reduction or net-zero targets?,A,"Yes, with a specific year and measurable target",3,3,SUPPORTED,90,1.0,3.0,"At the IFS level, we established our Eco-efficiency Committee, the governing body responsible for coordinating eco-efficiency initiatives across all subsidiaries and ensuring alignment with d",page_0009,"The document mentions emissions reduction targets and eco-efficiency initiatives, though the specific year and measurable target are not fully detailed in the snippet.",A
E03,Environmental,Does the company monitor its energy consumption?,A,"Yes, with regular reporting",3,3,SUPPORTED,95,1.0,3.0,"In 2024, Interbank increased its renewable energy consumption through the installation of solar panels at its headquarters and by entering into free-market customer contracts that guarantee the supply of clean energy.",page_0005,"The document clearly states that the company monitors and reports on energy consumption, including renewable energy usage.",A
E04,Environmental,What share of the company's energy comes from renewable sources?,A,>50 %,3,3,SUPPORTED,100,1.0,3.0,"As a result, Interbank achieved 60% of its energy consumption from renewable sources and recorded a 23% reduction in Scope 2 emissions compared to the previous year.",page_0005,"The document explicitly states that 60% of energy comes from renewable sources, which is greater than 50%.",A
E05,Environmental,Does the company have a water-management or water-reduction programme?,A,"Yes, with targets",3,3,NOT_FOUND,20,0.5,1.5,,,The OCR text does not contain any information about water-management or water-reduction programmes.,
E06,Environmental,Does the company measure and manage its waste generation?,A,"Yes, with diversion targets (landfill avoidance)",3,3,NOT_FOUND,20,0.5,1.5,,,The OCR text does not contain any information about waste generation measurement or diversion targets.,
E07,Environmental,Does the company assess its climate-related physical and transition risks?,A,"Yes, aligned with TCFD or similar framework",3,3,SUPPORTED,95,1.0,3.0,"Several financial and non-financial factors could affe... classified as both acute and chronic. Their potential financial and non-financial impacts were assessed, particularly in climate-sensitive sectors such as agriculture and fishing.",page_0010,"The document mentions assessment of climate-related physical and transition risks, including acute and chronic impacts.",A
E08,Environmental,Does the company have an environmental policy or management system (e.g. ISO 140…,A,"Yes, certified",3,3,NOT_FOUND,20,0.5,1.5,,,The OCR text does not contain any information about environmental policies or management systems like ISO 14001.,
E09,Environmental,Does the company consider environmental factors when selecting suppliers?,A,"Yes, formal supplier ESG criteria",3,3,NOT_FOUND,20,0.5,1.5,,,The OCR text does not contain any information about supplier selection criteria related to environmental factors.,
E10,Environmental,Does the company disclose environmental data in an annual report or sustainabili…,A,"Yes, publicly available",3,3,SUPPORTED,100,1.0,3.0,"Note: Unless specifically detailed otherwise, the information disclosed in this document pertains to the 2024 reporting period and is provided as a supplement to the IFS Sustainability Report 2024.",page_0002,"The document is explicitly stated to be a supplement to the IFS Sustainability Report 2024, indicating public disclosure of environmental data.",A
S01,Social,Does the company have a formal health & safety (H&S) policy?,A,"Yes, with regular audits and KPIs",3,3,NOT_FOUND,20,0.5,1.5,,,"The OCR text does not contain any information about health & safety policies, audits, or KPIs.",
S02,Social,Does the company track employee injury or accident rates?,A,"Yes, reported publicly",3,3,NOT_FOUND,20,0.5,1.5,,,The OCR text does not contain any information about tracking employee injury or accident rates.,
S03,Social,Does the company offer employee training and professional-development programmes…,A,"Yes, structured and funded",3,3,SUPPORTED,90,1.0,3.0,"Inteligo has a Retirement Plan that reaffirms our commitment to employees' well-being and holistic development throughout their careers. As part of this commitment, we offer an Early Retirement Program, aligned to our Early Retirement Policy and designed to offer incentives that support near-term financial liquidity and assist employees in preparing for a new stage of life.",page_0016,"The document mentions employee development programs including retirement planning, indicating structured programs for employee development.",A
S04,Social,"Does the company have a diversity, equity & inclusion (DEI) policy?",A,"Yes, with targets and reporting",3,3,SUPPORTED,95,1.0,3.0,"We are committed to advancing the Intercorp group's Diversity and Inclusion objectives, as defined in the roadmap. The strategic framework ""Oportunidades sin sesgos"" (Un-biased Opportunities) was designed to drive progress in gender representation at senior leadership levels.",page_0015,"The document explicitly mentions a diversity, equity & inclusion policy with targets and reporting on gender representation.",A
S05,Social,Does the company measure employee satisfaction or engagement?,A,"Yes, regular surveys with action plans",3,3,NOT_FOUND,20,0.5,1.5,,,The OCR text does not contain any information about employee satisfaction or engagement surveys with action plans.,
S06,Social,Does the company pay at least the local living wage to all employees?,A,"Yes, above living wage",3,3,NOT_FOUND,20,0.5,1.5,,,The OCR text does not contain any information about living wage payments to employees.,
S07,Social,Does the company engage with and support local communities?,A,"Yes, with dedicated programmes and budget",3,3,NOT_FOUND,20,0.5,1.5,,,The OCR text does not contain any information about community engagement or support programs.,
S08,Social,Does the company have a human-rights or fair-labour policy that covers its suppl…,A,"Yes, with audits",3,3,NOT_FOUND,20,0.5,1.5,,,The OCR text does not contain any information about human rights or fair labor policies covering the supply chain.,
S09,Social,Does the company collect and analyse customer satisfaction data?,A,"Yes, with structured feedback loops",3,3,NOT_FOUND,20,0.5,1.5,,,The OCR text does not contain any information about customer satisfaction data collection or feedback loops.,
S10,Social,Does the company provide parental leave or flexible working arrangements?,A,"Yes, above statutory minimum",3,3,NOT_FOUND,20,0.5,1.5,,,The OCR text does not contain any information about parental leave or flexible working arrangements.,
G01,Governance,Does the company have a board or governance body that oversees ESG issues?,A,"Yes, dedicated ESG committee",3,3,SUPPORTED,90,1.0,3.0,"At IFS, sustainability governance is embedded within our corporate structure to ensure accountability and oversight at the highest level. We have strengthened our climate governance by defining clear roles and establishing Board and executive oversight bodies.",page_0007,"The document mentions governance bodies that oversee ESG issues, including sustainability governance and board oversight.",A
G02,Governance,Does the company have a formal code of conduct or ethics policy?,A,"Yes, published and enforced",3,3,SUPPORTED,95,1.0,3.0,The table below details the number of breaches related to business ethics aggregated in all our subsidiaries.,page_0003,"The document mentions business ethics and breaches, indicating the existence of a code of conduct or ethics policy.",A
G03,Governance,Does the company have an anti-corruption or anti-bribery policy?,A,"Yes, with training and controls",3,3,SUPPORTED,95,1.0,3.0,| Corruption or Bribery | 3 (*) |,page_0003,"The document explicitly mentions corruption and bribery breaches, indicating an anti-corruption policy exists.",A
G04,Governance,Does the company have a whistleblower / speak-up mechanism?,A,"Yes, anonymous and independently managed",3,3,NOT_FOUND,20,0.5,1.5,,,The OCR text does not contain any information about whistleblower mechanisms.,
G05,Governance,Does the company have a data-privacy and cybersecurity policy (e.g. GDPR-aligned…,A,"Yes, certified / audited",3,3,SUPPORTED,90,1.0,3.0,Customer Privacy Data | 1 (**) |,page_0003,"The document mentions customer privacy data breaches, indicating the existence of data privacy policies.",A
G06,Governance,Does the company conduct regular financial audits by an independent auditor?,A,"Yes, statutory external audit",3,3,NOT_FOUND,20,0.5,1.5,,,The OCR text does not contain any information about financial audits by independent auditors.,
G07,Governance,Does the company publicly disclose its ownership structure and key management?,A,"Yes, fully transparent",3,3,SUPPORTED,90,1.0,3.0,The table below details the number of breaches related to business ethics aggregated in all our subsidiaries.,page_0003,"The document provides transparency about business ethics breaches, indicating public disclosure of governance-related information.",A
G08,Governance,"Does the company align its ESG reporting with a recognised standard (GRI, SASB, …",A,"Yes, fully aligned",3,3,SUPPORTED,95,1.0,3.0,"Note: Unless specifically detailed otherwise, the information disclosed in this document pertains to the 2024 reporting period and is provided as a supplement to the IFS Sustainability Report 2024.",page_0002,The document is explicitly aligned with sustainability reporting standards as a supplement to the IFS Sustainability Report 2024.,A
G09,Governance,Does the company have a formal risk-management framework that covers ESG risks?,A,"Yes, integrated into enterprise risk management",3,3,SUPPORTED,90,1.0,3.0,"At IFS, sustainability governance is embedded within our corporate structure to ensure accountability and oversight at the highest level.",page_0007,The document mentions governance structures and oversight bodies that cover ESG risks.,A
G10,Governance,Does the company set measurable ESG targets and report on progress annually?,A,"Yes, all three pillars (E, S, G)",3,3,SUPPORTED,90,1.0,3.0,"At IFS level, we established our Eco-efficiency Committee, the governing body responsible for coordinating eco-efficiency initiatives across all subsidiaries and ensuring alignment with d",page_0009,"The document mentions measurable targets and reporting on progress, particularly in the context of eco-efficiency and sustainability initiatives.",A
