ID,Pillar,Question,Selected,Selected Text,Raw Score,Max Score,Final Score
E01,Environmental,Does the company track and report its greenhouse gas (GHG) emissions?,A,"Yes, Scope 1 and 2",3,3,3
E02,Environmental,Has the company set carbon-reduction or net-zero targets?,A,"Yes, with a specific year and measurable target",3,3,3
E03,Environmental,Does the company monitor its energy consumption?,A,"Yes, with regular reporting",3,3,3
E04,Environmental,What share of the company's energy comes from renewable sources?,A,>50 %,3,3,3
E05,Environmental,Does the company have a water-management or water-reduction programme?,A,"Yes, with targets",3,3,3
E06,Environmental,Does the company measure and manage its waste generation?,A,"Yes, with diversion targets (landfill avoidance)",3,3,3
E07,Environmental,Does the company assess its climate-related physical and transition risks?,A,"Yes, aligned with TCFD or similar framework",3,3,3
E08,Environmental,Does the company have an environmental policy or management system (e.g. ISO 14001)?,A,"Yes, certified",3,3,3
E09,Environmental,Does the company consider environmental factors when selecting suppliers?,A,"Yes, formal supplier ESG criteria",3,3,3
E10,Environmental,Does the company disclose environmental data in an annual report or sustainability report?,A,"Yes, publicly available",3,3,3
S01,Social,Does the company have a formal health & safety (H&S) policy?,A,"Yes, with regular audits and KPIs",3,3,3
S02,Social,Does the company track employee injury or accident rates?,A,"Yes, reported publicly",3,3,3
S03,Social,Does the company offer employee training and professional-development programmes?,A,"Yes, structured and funded",3,3,3
S04,Social,"Does the company have a diversity, equity & inclusion (DEI) policy?",A,"Yes, with targets and reporting",3,3,3
S05,Social,Does the company measure employee satisfaction or engagement?,A,"Yes, regular surveys with action plans",3,3,3
S06,Social,Does the company pay at least the local living wage to all employees?,A,"Yes, above living wage",3,3,3
S07,Social,Does the company engage with and support local communities?,A,"Yes, with dedicated programmes and budget",3,3,3
S08,Social,Does the company have a human-rights or fair-labour policy that covers its supply chain?,A,"Yes, with audits",3,3,3
S09,Social,Does the company collect and analyse customer satisfaction data?,A,"Yes, with structured feedback loops",3,3,3
S10,Social,Does the company provide parental leave or flexible working arrangements?,A,"Yes, above statutory minimum",3,3,3
G01,Governance,Does the company have a board or governance body that oversees ESG issues?,A,"Yes, dedicated ESG committee",3,3,3
G02,Governance,Does the company have a formal code of conduct or ethics policy?,A,"Yes, published and enforced",3,3,3
G03,Governance,Does the company have an anti-corruption or anti-bribery policy?,A,"Yes, with training and controls",3,3,3
G04,Governance,Does the company have a whistleblower / speak-up mechanism?,A,"Yes, anonymous and independently managed",3,3,3
G05,Governance,Does the company have a data-privacy and cybersecurity policy (e.g. GDPR-aligned)?,C,Partial measures,1,3,1
G06,Governance,Does the company conduct regular financial audits by an independent auditor?,A,"Yes, statutory external audit",3,3,3
G07,Governance,Does the company publicly disclose its ownership structure and key management?,A,"Yes, fully transparent",3,3,3
G08,Governance,"Does the company align its ESG reporting with a recognised standard (GRI, SASB, UN SDGs)?",A,"Yes, fully aligned",3,3,3
G09,Governance,Does the company have a formal risk-management framework that covers ESG risks?,A,"Yes, integrated into enterprise risk management",3,3,3
G10,Governance,Does the company set measurable ESG targets and report on progress annually?,A,"Yes, all three pillars (E, S, G)",3,3,3
