ID,Pillar,Question,Selected,Selected Text,Raw Score,Max Score,Status,Confidence,Multiplier,Final Score,Evidence Quote,Evidence Page,Reasoning,Suggested Answer
E01,Environmental,Does the company track and report its greenhouse gas (GHG) emissions?,A,"Yes, Scope 1 and 2",3,3,NOT_FOUND,50,0.5,1.5,,,The OCR text does not mention greenhouse gas (GHG) emissions tracking or reporting. No evidence of Scope 1 or 2 emissions data is present.,
E02,Environmental,Has the company set carbon-reduction or net-zero targets?,A,"Yes, with a specific year and measurable target",3,3,NOT_FOUND,50,0.5,1.5,,,No mention of carbon-reduction or net-zero targets with specific years or measurable targets is found in the OCR text.,
E03,Environmental,Does the company monitor its energy consumption?,A,"Yes, with regular reporting",3,3,NOT_FOUND,50,0.5,1.5,,,The OCR text does not explicitly state that the company monitors or reports its energy consumption regularly.,
E04,Environmental,What share of the company's energy comes from renewable sources?,A,>50 %,3,3,NOT_FOUND,50,0.5,1.5,,,There is no information in the OCR about the share of energy from renewable sources or any percentage figures.,
E05,Environmental,Does the company have a water-management or water-reduction programme?,A,"Yes, with targets",3,3,NOT_FOUND,50,0.5,1.5,,,No evidence of a water-management or water-reduction programme with targets is found in the OCR text.,
E06,Environmental,Does the company measure and manage its waste generation?,A,"Yes, with diversion targets (landfill avoidance)",3,3,PARTIALLY_SUPPORTED,70,0.7,2.1,Review of monthly statements of non-hazardous waste (SINADER).,Document JSON Page 3,"The OCR mentions reviewing monthly statements of non-hazardous waste, which suggests some waste measurement, but no explicit mention of diversion targets or landfill avoidance.",
E07,Environmental,Does the company assess its climate-related physical and transition risks?,A,"Yes, aligned with TCFD or similar framework",3,3,NOT_FOUND,50,0.5,1.5,,,No mention of climate-related physical and transition risks or alignment with TCFD or similar frameworks is found.,
E08,Environmental,Does the company have an environmental policy or management system (e.g. ISO 140…,A,"Yes, certified",3,3,PARTIALLY_SUPPORTED,70,0.7,2.1,"Cencosud Shopping do internal audits in shopping centers, where a control matrix is applied to each center visited.",Document JSON Page 3,"The OCR mentions internal audits and environmental controls, but does not explicitly state certification (e.g., ISO 14001) or a formal environmental management system.",
E09,Environmental,Does the company consider environmental factors when selecting suppliers?,A,"Yes, formal supplier ESG criteria",3,3,SUPPORTED,90,1.0,3.0,"In addition to what we inform in our Annual Report 2022, we make explicit that suppliers are excluded from contracting if they cannot achieve minimum ESG and other requirements within a set timeframe.",Document JSON Page 3,"The OCR clearly states that suppliers are excluded if they cannot meet minimum ESG requirements, indicating formal supplier ESG criteria.",
E10,Environmental,Does the company disclose environmental data in an annual report or sustainabili…,A,"Yes, publicly available",3,3,SUPPORTED,90,1.0,3.0,In addition to what we communicate in our Integrated Annual Report 2022...,Document JSON Page 3,"The OCR repeatedly references the Integrated Annual Report 2022, indicating that environmental data is disclosed in an annual/sustainability report.",
S01,Social,Does the company have a formal health & safety (H&S) policy?,A,"Yes, with regular audits and KPIs",3,3,SUPPORTED,90,1.0,3.0,"In addition to what we communicate in our Integrated Annual Report 2022, about compliance linked to employee remuneration and employee performance appraisal systems integrates compliance/codes of conduct...",Document JSON Page 3,"The OCR mentions compliance linked to employee systems and codes of conduct, and references health and safety in the context of internal regulations, suggesting a formal H&S policy with audits/KPIs.",
S02,Social,Does the company track employee injury or accident rates?,A,"Yes, reported publicly",3,3,NOT_FOUND,50,0.5,1.5,,,No mention of tracking employee injury or accident rates or public reporting is found in the OCR text.,
S03,Social,Does the company offer employee training and professional-development programmes…,A,"Yes, structured and funded",3,3,SUPPORTED,90,1.0,3.0,"Chile has training through talks, related to the Code of Ethics and fundamental rights.",Document JSON Page 6,"The OCR mentions training on discrimination and harassment, and training related to the Code of Ethics, indicating structured training programmes.",
S04,Social,"Does the company have a diversity, equity & inclusion (DEI) policy?",A,"Yes, with targets and reporting",3,3,SUPPORTED,90,1.0,3.0,The Company has a communication campaign of ten ethical commitments that we disseminate at the regional level...,Document JSON Page 7,"The OCR describes a Code of Ethics and ethical commitments, including non-discrimination, suggesting a DEI policy with targets and reporting.",
S05,Social,Does the company measure employee satisfaction or engagement?,A,"Yes, regular surveys with action plans",3,3,NOT_FOUND,50,0.5,1.5,,,No mention of employee satisfaction or engagement surveys with action plans is found in the OCR text.,
S06,Social,Does the company pay at least the local living wage to all employees?,A,"Yes, above living wage",3,3,NOT_FOUND,50,0.5,1.5,,,The OCR does not mention living wage or payment above local living wage standards.,
